시군,단지명,전체면적,입주업체,가동업체,생산,인원수
19,341,123,196,196,30000,1521
3,227,729,200,131,0,38873
1,63,27,0,0,0,0
3,297,1030,226,224,739012,4820
3,17,732,215,213,507612,3998
3,43,298,11,11,231400,822
3,299,3090,501,486,613917,8397
23,247,869,82,70,238470,2087
56,315,26,0,0,0,0
56,400,1745,694,617,1278675,14084
56,25,604,143,137,697869,5681
56,26,1141,551,480,580806,8403
133,374,210,2222,2222,3801366,15749
3,694,52,3,3,20087,101
3,330,333,100,97,222429,1116
3,246,325,12,0,0,0
3,269,2225,340,334,1297375,8017
3,15,1926,333,327,1096900,7398
3,16,299,7,7,200475,619
23,207,343,21,0,0,0
23,298,169,4,3,124005,396
23,270,334,79,79,49870,1021
23,457,393,68,46,5365,1227
23,132,248,1,0,0,0
23,433,129,23,9,3015,419
54,308,1005,2104,2104,336800,16640
3,362,33,17,17,3448,175
23,551,771,88,88,351000,3579
23,575,479,214,214,336711,3833
23,576,59,4,3,7120,131
3,401,1713,79,79,850388,3375
3,740,1424,309,309,788084,6335
3,68,51,20,20,25298,164
3,608,220,0,0,0,0
3,69,69,0,0,0,0
3,607,48,18,18,16680,176
34,355,1893,864,858,869667,11306
34,356,2996,1104,1096,1650646,17714
34,357,1561,702,692,788393,10619
34,358,225,61,61,513058,3742
34,172,94,117,116,72136,1043
39,170,169,59,58,69950,1519
53,83,570,577,569,196242,7844
60,169,589,127,123,149482,4574
35,163,2551,343,318,1607893,13111
35,164,1482,286,255,421502,4311
35,8,1378,280,249,403845,4108
35,9,104,6,6,17657,203
35,173,2962,91,88,387964,4738
35,359,690,120,119,658560,4169
53,171,1284,2440,2440,302851,8057
35,182,40,0,0,0,0
53,129,339,0,0,0,0
60,333,1284,2674,2651,81582,17002
45,544,291,179,179,74363,2494
45,543,1001,583,583,1418454,6939
60,305,1381,1049,1020,181554,11072
60,545,770,290,289,372735,5531
60,639,129,34,34,43164,671
76,379,657,137,89,720000,9307
5,73,43,12,7,5575,113
5,72,320,81,63,60143,873
11,340,315,70,69,475609,3541
60,546,38,23,13,2800,91
60,2,172,78,54,37135,1589
104,447,320,0,0,0,0
16,683,3395,677,676,565639,14069
16,51,3296,671,671,532485,13845
16,52,99,6,5,33154,224
16,377,106,55,55,5681,539
29,382,304,64,64,23851,1502
53,289,766,147,142,201541,2039
16,611,998,384,338,912048,4506
16,684,652,142,106,2764000,2850
29,108,345,33,0,0,0
16,700,4458,1073,1068,3186245,21686
53,109,1136,0,0,0,0
39,702,152,55,53,57463,686
38,188,1643,400,392,820275,4643
38,11,395,163,157,186685,1365
38,12,676,98,96,569692,2432
38,10,572,139,139,63898,846
60,686,491,0,0,0,0
53,234,321,56,55,110210,1383
53,250,493,31,31,100252,2386
53,600,69,18,18,34105,423
89,133,893,97,82,324091,1929
89,390,1169,109,108,402678,2953
89,24,683,69,68,259529,1689
89,36,486,40,40,143149,1264
89,476,99,25,25,31212,569
89,503,1455,23,23,7083,295
89,291,174,10,9,4379,170
89,3,856,49,32,24336,1373
89,565,52,4,4,28324,74
89,272,853,79,68,92103,1257
89,547,125,0,0,0,0
53,601,223,43,39,37861,789
53,235,45,13,11,8946,195
53,236,118,20,19,29716,696
29,504,669,144,113,37360,2865
89,1,337,25,12,3250,527
53,251,171,0,0,0,0
89,430,576,3,3,0,20
89,642,135,0,0,0,0
89,242,37,0,0,0,0
64,566,345,8,8,162384,1412
64,567,591,33,31,961272,1490
64,592,759,12,11,56904,742
64,248,568,35,34,316211,3714
64,293,398,12,12,347848,1985
64,368,386,10,10,15159,259
64,371,456,0,0,0,0
64,369,323,0,0,0,0
64,372,443,26,21,110498,1056
64,563,87,0,0,0,0
64,370,472,0,0,0,0
26,137,202,10,10,1500,234
26,322,63,37,37,24000,431
26,425,939,970,970,40000,9276
26,522,34,15,15,16000,102
26,703,40,44,44,11000,361
26,704,400,121,121,0,2184
40,208,151,46,46,18974,1071
40,209,130,24,24,6747,613
40,324,45,7,7,9847,805
52,467,129,102,102,109765,2486
62,352,1164,2990,2980,2116402,42713
70,271,144,108,108,63473,1140
71,101,63,5,5,28426,125
71,123,34,13,11,266336,523
71,198,48,13,13,18643,200
71,220,47,15,15,9082,362
71,224,48,8,7,8440,348
71,268,144,6,6,96630,887
71,274,42,9,9,22604,209
71,414,549,48,42,380741,3288
71,415,549,54,51,564892,2734
71,416,285,45,38,131554,1292
71,417,517,21,17,116042,654
71,490,40,11,9,7175,148
71,507,79,6,6,69045,537
71,554,47,14,14,16067,176
71,515,42,4,3,10745,183
73,149,148,27,23,14020,561
73,325,48,10,10,19254,306
84,57,332,38,38,918012,3345
124,259,30,10,10,16800,330
124,260,164,14,14,128000,2231
124,398,120,82,79,350,1482
124,460,171,62,44,30000,733
124,652,186,88,60,0,540
124,677,1120,7,7,724000,17339
124,284,208,16,7,0,190
125,428,463,34,30,1146191,5514
125,463,329,8,7,38145,174
125,549,142,5,5,116516,557
125,615,257,17,17,602461,2477
125,650,414,32,32,601494,2399
125,666,495,16,15,95214,809
125,687,407,64,62,535119,3530
125,722,501,27,27,415694,1994
126,399,43,9,9,17534,226
126,423,106,51,51,30341,1150
136,218,946,409,298,609230,12175
136,228,587,272,171,62000,4127
136,273,1292,536,392,90000,9527
136,552,443,15,14,185844,1813
136,553,369,8,6,145499,784
136,562,975,287,213,0,3736
136,719,460,49,46,1171953,3357
136,731,110,41,34,9028,334
77,641,122,23,22,41575,363
124,561,423,86,59,0,1004
26,712,433,0,0,0,0
96,559,44,10,8,7353,138
96,350,33,7,4,0,41
96,249,43,2,0,0,0
26,707,326,168,168,0,2407
73,729,352,87,82,151515,1420
84,58,401,58,54,36742,3702
125,97,196,12,6,146521,174
126,497,631,123,81,248686,2754
136,85,1133,293,215,0,4805
26,705,584,315,315,0,3516
67,239,199,266,253,111104,1520
125,616,644,33,13,751451,783
21,120,160,78,78,0,3215
126,556,267,79,53,40269,670
96,186,44,8,6,8728,169
30,104,106,30,29,29500,1161
30,122,72,31,30,3300,839
30,612,98,57,57,306060,935
65,386,154,343,343,1678150,4002
65,387,70,53,53,146600,1387
65,388,577,421,421,1350375,10294
71,74,154,12,11,35954,439
73,84,88,56,52,4190,1229
95,498,210,133,133,72000,2310
124,165,239,6,6,218000,879
124,349,695,118,97,4800,3620
124,127,50,12,10,8500,130
124,512,574,3,3,2000,649
124,672,84,48,37,28050,419
124,283,203,0,0,0,0
125,384,787,141,139,694514,5498
125,691,420,7,7,86551,302
0,254,48,14,11,4640,248
75,71,38,7,6,11477,126
77,277,260,58,43,800,845
124,679,74,0,0,0,0
136,594,141,33,23,20342,515
96,204,47,7,7,0,110
96,203,42,1,0,0,0
70,681,64,0,0,0,0
87,161,46,0,0,0,0
71,231,43,0,0,0,0
71,290,42,0,0,0,0
84,366,79,7,7,0,1250
126,128,93,14,13,13521,252
136,736,386,115,83,0,2818
71,555,40,8,7,21292,219
125,690,1735,0,0,0,0
71,67,64,0,0,0,0
73,506,78,0,0,0,0
125,617,531,0,0,0,0
87,605,46,1,0,0,0
71,221,104,19,16,47503,499
87,491,35,0,0,0,0
136,735,364,126,81,0,1366
26,192,171,59,45,0,898
94,531,79,642,639,10321,2221
73,525,714,0,0,0,0
136,211,73,0,0,0,0
71,55,79,0,0,0,0
26,710,344,161,161,0,1792
126,432,234,0,0,0,0
77,436,391,25,0,0,0
26,708,80,41,37,0,535
71,210,57,0,0,0,0
126,613,69,1,0,0,0
71,230,78,0,0,0,0
71,303,35,0,0,0,0
87,493,519,128,72,0,2662
125,689,906,0,0,0,0
67,106,468,0,0,0,0
124,678,301,0,0,0,0
125,344,193,0,0,0,0
125,688,782,35,4,215080,269
71,418,400,0,0,0,0
87,586,46,0,0,0,0
71,420,207,0,0,0,0
26,711,118,0,0,0,0
124,680,392,0,0,0,0
84,461,104,0,0,0,0
96,153,46,3,0,0,0
87,492,2447,0,0,0,0
71,419,450,0,0,0,0
87,276,35,0,0,0,0
96,536,36,0,0,0,0
88,583,146,0,0,0,0
26,706,55,0,0,0,0
2,64,856,159,148,137624,1424
2,66,69,36,22,17800,339
